time_ms,temperature,humidity
60093,27.50,93.00
120118,27.40,93.80
180143,27.30,94.10
240168,27.40,94.10
300193,27.40,94.10
360218,27.40,94.10
420243,27.40,94.10
480268,27.40,94.50
540293,27.30,94.50
600318,27.30,94.80
660343,27.40,94.80
720368,27.50,94.70
780393,27.60,94.40
840418,27.80,93.90
900443,27.90,93.30
960468,27.90,92.90
1020493,27.90,92.90
1080518,27.90,92.90
1140543,28.00,92.50
1200567,28.00,92.20
1260593,28.00,91.80
1320617,28.00,92.20
1380642,28.00,92.20
1440668,28.00,91.80
1500693,28.00,91.80
1560718,28.00,91.80
1620743,28.00,91.80
1680768,28.00,91.50
1740793,27.70,92.00
1800818,27.50,92.70
1860843,27.40,93.50
1920868,27.30,94.10
1980893,27.10,94.90
2040918,27.10,95.70
2100943,27.00,95.70
2160968,27.00,95.70
2220992,27.00,96.20
2281017,26.90,96.70
2341042,26.90,96.70
2401067,26.90,96.70
2461092,27.00,96.20
2521118,27.00,95.70
2581142,27.30,96.50
2641168,29.10,92.10
2701193,30.60,85.20
2761218,30.70,79.70
2821243,30.60,78.60
2881268,30.70,78.20
2941293,30.90,77.30
3001318,31.30,75.90
3061343,31.50,75.00
3121368,31.80,73.90
3181393,31.90,73.10
3241418,31.70,73.40
3301443,31.70,73.70
3361468,30.90,75.80
3421493,30.50,77.70
3481518,30.50,78.80
3541543,30.50,79.10
3601568,30.60,78.80
3661593,30.70,78.20
3721618,30.80,77.60
3781643,30.80,77.20
3841668,30.80,77.20
3901693,30.80,77.10
3961718,30.60,77.70
4021743,30.60,81.50
4081768,29.30,80.30
4141792,28.50,84.00
4201818,28.30,85.90
4261843,28.20,86.80
4321868,28.20,87.20
4381893,28.20,87.40
4441918,28.20,87.60
4501943,28.20,87.40
4561968,28.20,87.40
4621993,28.20,87.40
4682018,28.00,87.40
4742042,27.50,88.80
4802068,27.20,90.20
4862093,27.00,91.20
4922117,26.90,92.30
4982142,26.90,93.00
5042168,26.90,93.30
5102192,26.80,93.30
5162218,26.80,93.70
5222242,26.80,94.00
5282267,26.80,94.00
5342292,26.80,94.00
5402318,26.80,94.30
5462343,26.80,94.30
5522368,26.70,94.40
5582393,26.70,94.40
5642418,26.70,94.40
5702443,26.70,94.40
5762468,26.70,94.40
5822493,26.70,94.40
5882518,26.70,94.80
5942543,26.70,94.80
6002568,26.70,94.80
6062593,26.70,94.80
6122618,26.70,94.80
6182643,26.70,94.80
6242668,26.70,94.80
6302693,26.70,94.80
6362718,26.70,94.80
6422743,26.70,94.80
6482768,26.70,94.80
6542793,26.70,94.80
6602818,26.70,94.80
6662843,26.70,94.80
6722868,26.70,94.80
6782893,26.70,95.10
6842918,26.70,95.10
6902943,26.70,95.10
6962968,26.70,95.10
7022993,26.70,95.10
7083018,26.70,95.10
7143043,26.70,95.40
7203068,26.70,95.40
7263093,26.70,95.40
7323118,26.70,95.40
7383143,26.70,95.40
7443168,26.70,95.40
7503193,26.70,95.40
7563218,26.70,95.40
7623243,26.70,95.40
7683268,26.70,95.40
7743293,26.70,95.40
7803318,26.70,95.40
7863343,26.70,95.40
7923368,26.70,95.90
7983393,26.70,95.90
8043418,26.70,95.90
8103443,26.70,95.90
8163468,26.70,95.90
8223493,26.70,95.90
8283518,26.70,95.90
8343543,26.70,95.90
8403568,26.70,95.90
8463593,26.70,95.90
8523617,26.70,96.40
8583642,26.70,96.40
8643667,26.70,96.40
8703692,26.70,96.40
8763717,26.70,96.40
8823742,26.70,96.40
8883767,26.70,96.40
8943792,26.70,96.80
9003817,26.70,96.80
9063842,26.70,97.10
9123867,26.70,97.10
9183892,27.20,97.20
9243918,28.50,94.00
9303942,29.40,87.80
9363968,30.00,83.50
9423993,30.50,80.50
9484018,30.70,78.90
9544043,30.80,77.90
9604068,30.90,77.40
9664093,31.40,80.20
9724117,30.80,76.20
9784142,29.40,81.00
9844168,28.90,84.20
9904193,28.70,85.60
9964218,28.60,86.40
